transaction_id,ticker,issuer_name,issuer_cik,filing_accession,filing_date,transaction_date,filing_form,security_type,security_title,insider_name,insider_cik,relationship_is_director,relationship_is_officer,relationship_is_ten_percent_owner,relationship_is_other,officer_title,transaction_code,acquired_disposed_code,share_count,share_price_usd,shares_owned_after,shares_owned_before,ownership_change_pct,direct_or_indirect,nature_of_ownership,source_xml_url
0001140361-26-023363|non-derivative|2026-05-27|S|0,AAPL,Apple Inc.,0000320193,0001140361-26-023363,2026-05-29,2026-05-27,4,non-derivative,Common Stock,LEVINSON ARTHUR D,0001214128,True,False,False,False,,S,D,50000.0,311.02,3764576.0,3814576.0,-1.3107616678760627,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126023363/form4.xml
0001140361-26-023363|non-derivative|2026-05-27|G|1,AAPL,Apple Inc.,0000320193,0001140361-26-023363,2026-05-29,2026-05-27,4,non-derivative,Common Stock,LEVINSON ARTHUR D,0001214128,True,False,False,False,,G,D,65000.0,0.0,3699576.0,3764576.0,-1.7266220684613618,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126023363/form4.xml
0001140361-26-025620|non-derivative|2026-06-15|M|0,AAPL,Apple Inc.,0000320193,0001140361-26-025620,2026-06-17,2026-06-15,4,non-derivative,Common Stock,Borders Ben,0002100523,False,True,False,False,Principal Accounting Officer,M,A,240.0,,38953.0,38713.0,0.6199467879007052,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025620/form4.xml
0001140361-26-025620|non-derivative|2026-06-15|F|1,AAPL,Apple Inc.,0000320193,0001140361-26-025620,2026-06-17,2026-06-15,4,non-derivative,Common Stock,Borders Ben,0002100523,False,True,False,False,Principal Accounting Officer,F,D,124.0,296.42,38829.0,38953.0,-0.3183323492413935,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025620/form4.xml
0001140361-26-025620|derivative|2026-06-15|M|3,AAPL,Apple Inc.,0000320193,0001140361-26-025620,2026-06-17,2026-06-15,4,derivative,Restricted Stock Unit,Borders Ben,0002100523,False,True,False,False,Principal Accounting Officer,M,D,240.0,,1676.0,1916.0,-12.526096033402922,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025620/form4.xml
0001140361-26-025622|non-derivative|2026-06-15|M|0,AAPL,Apple Inc.,0000320193,0001140361-26-025622,2026-06-17,2026-06-15,4,non-derivative,Common Stock,Newstead Jennifer,0001780525,False,True,False,False,"SVP, GC and Secretary",M,A,30104.0,,57784.0,27680.0,108.75722543352602,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025622/form4.xml
0001140361-26-025622|non-derivative|2026-06-15|F|1,AAPL,Apple Inc.,0000320193,0001140361-26-025622,2026-06-17,2026-06-15,4,non-derivative,Common Stock,Newstead Jennifer,0001780525,False,True,False,False,"SVP, GC and Secretary",F,D,16238.0,296.42,41546.0,57784.0,-28.10120448567077,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025622/form4.xml
0001140361-26-025622|derivative|2026-06-15|M|2,AAPL,Apple Inc.,0000320193,0001140361-26-025622,2026-06-17,2026-06-15,4,derivative,Restricted Stock Unit,Newstead Jennifer,0001780525,False,True,False,False,"SVP, GC and Secretary",M,D,30104.0,,210728.0,240832.0,-12.5,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025622/form4.xml
0001140361-26-025620|non-derivative|2026-06-16|S|2,AAPL,Apple Inc.,0000320193,0001140361-26-025620,2026-06-17,2026-06-16,4,non-derivative,Common Stock,Borders Ben,0002100523,False,True,False,False,Principal Accounting Officer,S,D,116.0,295.14,38713.0,38829.0,-0.2987457827912128,D,,https://www.sec.gov/Archives/edgar/data/320193/000114036126025620/form4.xml
0001996810-26-000134|non-derivative|2026-06-01|S|0,GEV,GE Vernova Inc.,0001996810,0001996810-26-000134,2026-06-03,2026-06-01,4,non-derivative,"Common stock, par value $0.01 per share",Abate Victor,0002005215,False,True,False,False,"Chief Executive Officer, Wind",S,D,4819.0,948.08,1835.0,6654.0,-72.42260294559664,D,,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000134/wk-form4_1780524690.xml
0001699043-26-000008|derivative|2026-06-01|A|0,HON,HONEYWELL INTERNATIONAL INC,0000773840,0001699043-26-000008,2026-06-03,2026-06-01,4,derivative,Deferred Compensation (Phantom Shares),Evanko Jillian C.,0001699043,True,False,False,False,,A,A,149.7,234.99,149.7,0.0,,D,,https://www.sec.gov/Archives/edgar/data/773840/000169904326000008/wk-form4_1780517794.xml
0001699043-26-000008|derivative|2026-06-01|A|1,HON,HONEYWELL INTERNATIONAL INC,0000773840,0001699043-26-000008,2026-06-03,2026-06-01,4,derivative,Restricted Stock Units,Evanko Jillian C.,0001699043,True,False,False,False,,A,A,540.0,0.0,540.0,0.0,,D,,https://www.sec.gov/Archives/edgar/data/773840/000169904326000008/wk-form4_1780517794.xml
0001742938-26-000005|non-derivative|2026-06-01|M|0,HON,HONEYWELL INTERNATIONAL INC,0000773840,0001742938-26-000005,2026-06-03,2026-06-01,4,non-derivative,Common Stock,Kapur Vimal,0001742938,True,True,False,False,Chief Executive Officer,M,A,1997.0,,13186.0,11189.0,17.8478863169184,D,,https://www.sec.gov/Archives/edgar/data/773840/000174293826000005/wk-form4_1780518150.xml
